condition,structure_rank,seed,sample,cif_path,PC1,PC2
WT mono apo,13,127,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-127_sample-3/model.cif,-23.76198282320863,-0.8308756264555278
WT mono apo,14,108,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-108_sample-3/model.cif,-24.071929617904896,-1.147401698146459
WT mono apo,15,10,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-10_sample-2/model.cif,-23.592193160999322,2.9908226008753913
WT mono apo,16,133,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-133_sample-3/model.cif,20.8806471739467,-0.027465374497603855
WT mono apo,17,25,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-25_sample-2/model.cif,20.73231170385082,-1.2044464403027513
WT mono apo,18,170,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-170_sample-0/model.cif,21.05003765525296,3.1176644807912512
WT mono apo,19,77,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-77_sample-1/model.cif,20.738983877660743,-1.1033544914904105
WT mono apo,20,84,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-84_sample-4/model.cif,21.1447017626312,-1.1582684241160912
WT mono apo,21,74,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-74_sample-2/model.cif,20.77517753765161,-1.0180560793042555
WT mono apo,22,208,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-208_sample-1/model.cif,21.385336120069635,-1.1155007005055106
WT mono apo,23,170,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-170_sample-4/model.cif,20.7509858800595,-0.7498560091166785
WT mono apo,24,94,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-94_sample-4/model.cif,21.203331846139548,-0.7901550012099076
WT mono apo,25,74,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-74_sample-4/model.cif,20.498431416117974,3.237250517538598
WT mono apo,26,50,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-50_sample-4/model.cif,20.79077212577704,-1.2878119889369664
WT mono apo,27,50,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-50_sample-0/model.cif,21.377506441211338,-0.7730829650629737
WT mono apo,28,84,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-84_sample-0/model.cif,20.713511242783138,-1.1090340679878354
WT mono apo,29,199,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-199_sample-0/model.cif,20.72710243032415,-0.9065592334178565
WT mono apo,30,84,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-84_sample-2/model.cif,21.442706514528563,2.765410770135732
WT mono apo,31,93,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-93_sample-3/model.cif,20.90976936453355,-0.7977115695840791
WT mono apo,32,137,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-137_sample-1/model.cif,20.933114315869815,3.102191838914402
WT mono apo,33,170,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-170_sample-1/model.cif,20.926172248537107,-1.0053853610971535
WT mono apo,34,25,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-25_sample-1/model.cif,20.687903309017592,-1.1792798498040955
WT mono apo,35,77,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-77_sample-0/model.cif,20.07805976524436,-0.7492626737328124
WT mono apo,36,138,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-138_sample-1/model.cif,20.71462660405183,-0.5174677478115262
WT mono apo,37,133,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-133_sample-2/model.cif,20.705824824941132,-0.9206704311595008
WT mono apo,38,51,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-51_sample-0/model.cif,21.581674795347833,-1.370268902432369
WT mono apo,39,51,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-51_sample-1/model.cif,21.222134514931078,2.942782427018212
WT mono apo,40,94,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-94_sample-1/model.cif,21.79152705882123,2.9882308633045214
WT mono apo,41,84,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-84_sample-3/model.cif,20.47841729597827,3.003680556842867
WT mono apo,42,171,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-171_sample-3/model.cif,-23.175630105471928,3.2000279861815493
WT mono apo,43,225,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-225_sample-3/model.cif,-24.142514678780163,2.6241838610405335
WT mono apo,44,138,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-138_sample-4/model.cif,20.81014061350429,3.145732258120658
WT mono apo,45,51,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-51_sample-4/model.cif,21.4314243598265,-1.308404090679451
WT mono apo,46,30,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-30_sample-1/model.cif,21.53072139364285,-1.2341864128729305
WT mono apo,47,199,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-199_sample-2/model.cif,20.975003556281873,-0.906614046794696
WT mono apo,48,50,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-50_sample-3/model.cif,22.03804253576624,-0.9913880021882042
WT mono apo,49,170,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-170_sample-2/model.cif,20.746341085559273,-0.8048742379793423
WT mono apo,50,25,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-25_sample-3/model.cif,20.672392344357046,2.952250397721277
WT mono apo,51,199,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-199_sample-1/model.cif,21.881540728564815,2.949473178975146
WT mono apo,52,208,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-208_sample-3/model.cif,20.711216402127608,3.059768690575043
WT mono apo,53,208,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-208_sample-4/model.cif,20.525203307620288,2.575650387942746
WT mono apo,54,142,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-142_sample-1/model.cif,20.841862893665212,-1.3726331200012991
WT mono apo,55,123,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-123_sample-0/model.cif,21.15652913188538,-0.7570791147179546
WT mono apo,56,137,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-137_sample-2/model.cif,21.170426716121824,3.317392875015261
WT mono apo,57,210,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-210_sample-2/model.cif,-22.892769578467803,-0.427424202980118
WT mono apo,58,110,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-110_sample-4/model.cif,21.019591453282942,3.2387400777395974
WT mono apo,59,133,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-133_sample-4/model.cif,21.515330516736928,2.9849057179576204
WT mono apo,60,157,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-157_sample-2/model.cif,20.520558901489558,3.421675702439423
WT mono apo,61,174,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-174_sample-4/model.cif,20.149484657235288,-1.0509011998220101
WT mono apo,62,249,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-249_sample-0/model.cif,20.593275026418315,-1.0174585844853048
WT mono apo,63,110,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-110_sample-0/model.cif,20.956417383492788,-0.9594549465861274
WT mono apo,64,18,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-18_sample-4/model.cif,21.019084660544173,2.9958108818402263
WT mono apo,65,188,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-188_sample-3/model.cif,20.71220685131557,-0.7602146846124286
WT mono apo,66,188,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-188_sample-4/model.cif,20.820465498544905,3.1523685482325536
WT mono apo,67,93,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-93_sample-0/model.cif,20.263770903134734,2.9368664239269897
WT mono apo,68,18,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-18_sample-0/model.cif,21.02580059177025,3.3405276248083204
WT mono apo,69,142,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-142_sample-0/model.cif,20.4670612591104,0.4518237052000195
WT mono apo,70,114,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-114_sample-2/model.cif,-23.512789027365123,3.706238132981724
WT mono apo,71,157,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-157_sample-3/model.cif,20.8411391239277,-1.3656806638636243
WT mono apo,72,94,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-94_sample-3/model.cif,20.906057576844518,-0.8458360076566446
WT mono apo,73,176,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-176_sample-4/model.cif,20.66597178644088,-1.2354118743177047
WT mono apo,74,196,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-196_sample-3/model.cif,19.85925446539107,3.121445290000829
WT mono apo,75,208,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-208_sample-2/model.cif,21.993167939351995,-0.7734741258911532
WT mono apo,76,237,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-237_sample-3/model.cif,21.366834447108264,-1.4551170088449061
WT mono apo,77,77,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-77_sample-2/model.cif,21.340213488517115,-0.7915592663551939
WT mono apo,78,123,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-123_sample-4/model.cif,21.3770676823502,-0.7572179134573696
WT mono apo,79,176,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-176_sample-2/model.cif,21.155880810191746,-1.1375596032161064
WT mono apo,80,18,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-18_sample-2/model.cif,21.22080091415873,-1.1422177064982866
WT mono apo,81,174,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-174_sample-1/model.cif,20.49297899607913,-0.9370320995373183
WT mono apo,82,28,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-28_sample-2/model.cif,-24.922691532931744,-1.58072919035273
WT mono apo,83,142,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-142_sample-3/model.cif,20.808622220100677,-1.190340147086037
WT mono apo,84,248,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-248_sample-2/model.cif,-23.567895106808795,-1.0089445598210625
WT mono apo,85,174,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-174_sample-0/model.cif,20.386316371708133,-1.3031054301682772
WT mono apo,86,98,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-98_sample-2/model.cif,20.71394306827628,-1.0984551898470394
WT mono apo,87,114,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-114_sample-1/model.cif,-24.653516773480984,-1.4309270598057062
WT mono apo,88,191,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-191_sample-2/model.cif,-23.59628224583428,-1.8509880039199376
WT mono apo,89,199,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-199_sample-3/model.cif,20.091601643881678,-1.0466386665081653
WT mono apo,90,49,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-49_sample-1/model.cif,-23.938423046471748,2.9499228383436322
WT mono apo,91,56,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-56_sample-0/model.cif,-23.24648890393167,-0.7510064459327693
WT mono apo,92,237,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-237_sample-1/model.cif,20.68823860420472,-0.8190592977055533
WT mono apo,93,237,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-237_sample-2/model.cif,21.399155874900693,-1.3010836232779661
WT mono apo,94,157,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-157_sample-4/model.cif,20.189473540979428,-1.0940620413148907
WT mono apo,95,243,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-243_sample-1/model.cif,-23.51668358806704,3.392740060606181
WT mono apo,96,91,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-91_sample-4/model.cif,-23.50721596638761,-1.1134370593488174
WT mono apo,97,138,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-138_sample-2/model.cif,20.79539029509042,3.3563854901952257
WT mono apo,98,106,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-106_sample-2/model.cif,-23.773569518738846,-1.3954811083445458
WT mono apo,99,236,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-236_sample-0/model.cif,-23.614531850480514,-0.9888876648105138
WT mono apo,100,123,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-123_sample-2/model.cif,20.542273340265325,3.0200537870657884
WT mono apo,101,74,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-74_sample-0/model.cif,20.97524524756167,3.0887499422405784
WT mono apo,102,174,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-174_sample-3/model.cif,20.89549820295125,-0.7290534152553634
WT mono apo,103,196,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-196_sample-4/model.cif,20.634013967159138,3.3424179059501284
WT mono apo,104,188,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-188_sample-2/model.cif,21.576444276049333,-1.2858831022980806
WT mono apo,105,70,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-70_sample-0/model.cif,-23.3023133726725,-1.0346744928687661
WT mono apo,106,51,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-51_sample-3/model.cif,19.821947721569547,-0.9004912187766378
WT mono apo,107,170,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-170_sample-3/model.cif,21.128933104687434,-1.1477326895705169
WT mono apo,108,53,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-53_sample-1/model.cif,21.071062681522903,-0.9740306042012653
WT mono apo,109,208,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-208_sample-0/model.cif,20.894852657310423,-1.2632226829040736
WT mono apo,110,77,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-77_sample-3/model.cif,21.22862866263335,2.8689771132141297
WT mono apo,111,110,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-110_sample-3/model.cif,20.039293375778946,3.2947131129707468
WT mono apo,112,142,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-142_sample-4/model.cif,20.73523636783478,-1.0419811771468541
WT mono apo,113,100,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-100_sample-0/model.cif,-23.687217760922877,-0.557264733513487
WT mono apo,114,99,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-99_sample-0/model.cif,-23.68432728503316,-0.6150331158382024
WT mono apo,115,43,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-43_sample-0/model.cif,21.7252393097631,-1.3725810652593924
WT mono apo,116,201,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-201_sample-4/model.cif,-23.906002013576877,2.192311076336329
WT mono apo,117,91,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-91_sample-0/model.cif,-23.02741043920729,3.583958960122897
WT mono apo,118,50,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-50_sample-2/model.cif,20.944081538040397,-0.9590138332115261
WT mono apo,119,157,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-157_sample-0/model.cif,20.446458625386942,-1.2399287939074384
WT mono apo,120,108,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-108_sample-2/model.cif,-23.621461242866655,-0.602015695913331
WT mono apo,121,211,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-211_sample-0/model.cif,20.83808306833619,-1.151909333104735
WT mono apo,122,108,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-108_sample-1/model.cif,-23.27291507503967,-0.6273691261315171
WT mono apo,123,202,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-202_sample-4/model.cif,-23.305729685619497,-0.9670369835581231
WT mono apo,124,123,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-123_sample-1/model.cif,21.21506606111059,-1.264723959510629
WT mono apo,125,108,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-108_sample-0/model.cif,-23.083468227440502,-1.0972193923257774
WT mono apo,126,108,4,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-108_sample-4/model.cif,-23.734861690477647,-1.2306474972490469
WT mono apo,127,18,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-18_sample-1/model.cif,20.870384172594367,-0.7693936930329524
WT mono apo,128,80,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-80_sample-3/model.cif,21.170424603663395,-1.0414258741138123
WT mono apo,129,101,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-101_sample-3/model.cif,22.08083256414049,-1.610507785906275
WT mono apo,130,135,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-135_sample-0/model.cif,-22.822544982034398,-0.6157187748230901
WT mono apo,131,195,2,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-195_sample-2/model.cif,-23.408937471325075,-0.8825921013987116
WT mono apo,132,117,1,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-117_sample-1/model.cif,-23.294250195968125,-0.9694865278418137
WT mono apo,133,176,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-176_sample-3/model.cif,20.71431988216646,-1.089313166861011
WT mono apo,134,187,0,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-187_sample-0/model.cif,-23.072635253605608,-0.6552353609433316
WT mono apo,135,221,3,/scratch4/jgray21/zhuggan1/repos/ER_Mutations/outputs/af3_wt_monomer/1a52_wt_monomer_apo/seed-221_sample-3/model.cif,21.164470903758687,2.9280017883480287
